title,genre,director,country,year
"Годзилла, Мотра, Кинг Гидора: Монстры атакуют","Фэнтези,фантастика,мистика",,,2001
Возродившийся машиной,ужасы,Крэйг Макмахон,,2009
Внезапно беременна,комедия,,,2009
Влечение,"мелодрама,драма",Катрин Корсини,,2009
Дом вверх дном,романтическая комедия,Адам Шенкман,,2003
Дом 1000 трупов,"Фильм ужасов,чёрная комедия,фантастика",Роб Зомби,,2003
Внутри вихря,драма,Марлен Горрис,,2009
Догвилль,"драма,триллер",Ларс фон Триер,,2003
Дитя луны,"фантастика, про вампиров",Такахиса Дзэдзэ,,2003
Девять жизней,драма,Родриго Гарсиа,,2005
Девчонки,комедия,Джон Хэзлетт,,2005
Дворецкий Боб,"комедия,семейный фильм",Гари Синьор,,2005
Город призраков,"криминальный фильм,драма,триллер",Мэтт Диллон,,2002
Граф Монте-Кристо,приключения,Кевин Рейнольдс,,
Госпожа горничная,"комедия,драма,мелодрама",Уэйн Ван,,2002
Девичий пастух,,Юсуп Разыков,,2005
Город Бога,"драма,криминальный","Катя Лунд,Фернанду Мейреллиш",,2002
Девочки,документальный фильм,Валерия Гай Германика,,
Голубая волна,"фильм о спорте,драма",Джон Стоквелл,,
Девушки мечты,"драма,мюзикл",Билл Кондон,,2006
Девственность ни к чему,,,,2006
Девушка из воды,"триллер,фэнтези",М. Найт Шьямалан,,
Двойная фамилия,драма,Станислав Митин,,2006
Глаз 2,фильм ужасов,"Оксид Пан,Дэнни Пан",,2004
Девдас,романтическая комедия,,,2006
Девочка-полицейский Йо-йо,"фантастика,боевик",Кэнта Фукасаку,,
Гитара-монголоид,,Рубен Остлунд,,2004
Гарри + Макс,драма,,,2004
Гуру,биографический фильм,,,
Гарфилд,комедия,Питер Хьюитт,,2004
Гарри Поттер и узник Азкабана,"приключенческий фильм,фэнтези,детективный фильм",Альфонсо Куарон,,2004
