title,genre,director,country,year
Эль Муэрто,супергеройский фильм,,,
Космические чистильщики,научно-фантастический фильм,,,2021
"
",,,,
Эбигейл,фильм ужасов,,,2024
Эммануэль,эротика,,,
Это не я,"драма,биография",Леос Каракс,,2024
Чужой: Ромул,"научно-фантастический,фильм ужасов",Феде Альварес,,2024
Холодное хранилище,фильм-триллер,,,
Люби снова,"комедия,мелодрама,Поп",,,
Хидэо Кодзима: Соединяя миры,,,,2024
Холоп 2,комедия,Клим Шипенко,,2024
Цвет лиловый,драматический фильм,Блитц Базавуле,,
Цена денег: Приключение Ларго Винча,"приключенческий фильм,боевик,триллер",,,
Луна,научно-фантастический фильм,Ким Ён Хва,,2023
Риддик: Фурия,"фантастика,боевик,триллер",Дэвид Туи,,2024
Лимб,криминальная драма,,,
"Кто угодно, но не ты",романтическая комедия,Уилл Глак,,2023
Кто убил BlackBerry,докудрама,,,2023
Кровь за кровь,"экшн,триллер",Мэтью Нэйбл,,2023
Ли,биография,Эллен Курас,,
Крупный улов,,Брайан Хелгеленд,,2023
Крушение,остросюжетный боевик,,,2023
Кратер,научно-фантастический фильм,,,2023
Краска,независимый кинематограф,,,
Король неба,военный фильм,,,2023
Кошки-мышки,,Сюзанна Фогель,,2023
Крид 3,"спорт,драма",Майкл Б. Джордан,,
Корабль призраков,Фильм ужасов,Gary Shore,,2023
Крик. Ночь перед Рождеством,комедийный фильм,,,
Крик 6,слэшер,,,
"Конец, с которого мы начинаем",фильм про выживание,,,
Контроль,боевик,,,
Книги крови,"фильм ужасов,сплаттерпанк",Брэннон Брага,,2020
Кольская сверхглубокая,"научная фантастика,триллер,фильм ужасов,боди-хоррор",Арсений Сюхин,,2020
Коллекторы 2,,,,2020
Копенгагена не существует,драматический фильм,,,
Книга видения,драматический фильм,,,
Колдовство: Новый ритуал,подростковый фильм,,,
Ключ времени,"приключения,фэнтези,драма,мистика",,,2020
Клаустрофобы: Квест в Москве,фильм-триллер,,,
Китобой,драма,Филипп  Юрьев,,2020
Капоне. Лицо со шрамом,"биографическая,драма",Джош Транк,,2020
Иччи,Ужасы,Костас Марсаан,,2020
Кое-что о Гарри,романтическая комедия,Питер Пейдж,,
Как Надя пошла за водкой,трагикомедия,Владимир Мирзоев,,
Итальянские каникулы,комедия,Массимо Венье,,2020
Каджиллионер,криминальный фильм,,,
Калашников,биография,Константин Буслов,,2020
Империя комаров,"триллер,драма",Филип Ян Рымша,,2020
Искусство греха,документальный фильм,,,
Илхак,драма,,,
Искусство ограбления,,,,
Изгнание,драматический фильм,,,
История семьи Блум,драматический фильм,,,2020
Идеальный кандидат,комедийный фильм,,,
"Игры, в которые играют люди","комедийная,драма",Йенни Тойвониеми,,2020
Джуди,"драма,биография,мюзикл",Руперт Гулд,,2019
Клаустрофобы. Долина дьявола,фильм-триллер,,,
Как насчёт любви?,драматический фильм,,,2022
Кит,психологическая драма,Даррен Аронофски,,2022
Кими,триллер,Стивен Содерберг,,2022
Искусственный интеллект,"Романтическая комедия,боевик",Бен Фальконе,,2020
Как жена,"научно-фантастический,триллер",,,2022
Идеальное алиби,эротический триллер,Нил Лабут,,2022
Игра теней,боевик,,,
Зловредный,слэшер,,,2022
Игра агентов,"боевик,триллер",,,2022
Иа,драматический фильм,,,2022
Изумительный Морис,"комедия,фэнтези,приключения,семейный",,,
Империя света,мелодрама,Сэм Мендес,,
Земун,,,,
Ирония судьбы в Голливуде,романтическая комедия,Марюс Вайсберг,,2022
Здоровый человек,драма,Пётр Тодоровский-мл.,,
Король Ричард,"биографическая,спортивная,драма",Рейнальдо Маркус Грин,,2021
Звоните Джейн,драматический фильм,,,
Королева баскетбола,короткометражный фильм,,,
Корпорация Ad Libitum,"триллер,приключения",Полина Ольденбург,,2021
Кодекс киллера,"боевик,триллер",Мартин Кэмпбелл,,2021
Земля Алькаррас,,,,
Клыки ночи,фильм-триллер,,,
Клаустрофобы 2: Лига выживших,психологический хоррор,Адам Робител,,2021
Кинотеатр Сабайя,драма,,,
Хеллбой: Горбун,кинофантастика,,,2024
Фуриоса: Хроники Безумного Макса,"постапокалиптический,приключенческий боевик",Джордж Миллер,,2024
Кислород,фильм про выживание,,,2021
Кейт,"боевик,триллер,криминал",,,2021
Урожай,,,,
Ужасающий 3,слэшер,Дэмиен Леоне,,2024
Конёк-Горбунок,"фэнтези,приключения",Олег Погодин,,2021
Тихое место: День первый,фильм ужасов,,,2024
Тельма,кинокомедия,Джош Марголин,,
Странные сказки,,,,
Территория зла,остросюжетный боевик,Уильям Юбэнк,,
Стокгольмская кровавая баня,драматический фильм,,,
Сто лет тому вперёд,фантастика,,,2024
Таро,фильм ужасов,,,
Такие мелочи,,,,
Стальная хватка,драматический фильм,Шон Дуркин,,
Спящие псы,триллер,,,
Команданте,исторический фильм,,,
Сорока,фильм ужасов,,,
Колодец чудес,фэнтезийный фильм,,,2023
Колбаса Митрофана Аксёнова,"документальный,биографический,мокьюментари",Алексей Федорченко,,2023
Книжный клуб: Новая глава,"романтическая комедия,мелодрама",,,
Кокаиновый медведь,,Элизабет Бэнкс,,
Кино 3.0,документальный фильм,,,2023
Клипмейкеры,комедия,Григорий Константинопольский,,2023
Кладбище домашних животных: Кровные узы,фильм ужасов о сверхъестественном,,,2023
Клуб Зеро,драма,Джессика Хаузнер,,2023
Кентавр,триллер,Кирилл Кемниц,,2023
Клетка ищет птицу,драматический фильм,,,
Зоя,"военно,историческая,драма,12+","Леонид Пляскин,Максим Бриус",,2020
Золотое кольцо,,Шота Гамисония,,2020
Зови меня Дрозд,мелодрама,,,2020
Зов предков,приключения,Крис Сандерс,,2020
Здесь нет зла,драматический фильм,Мохаммад Расулоф,,2020
Игры шпионов,,,,2020
"Земля голубая, будто апельсин",документальное кино,Ирина Цилык,,2020
Земля кочевников,драма,Хлоя Чжао,,2020
Зависнуть в Палм-Спрингс,,Макс Барбаков,,2020
Джон Уик 3,,Чад Стахелски,,2019
Залив тишины,триллер,,,2020
Заклятье. Дом 32,фильм ужасов,,,2020
Джентльмены,"криминал,комедия,боевик",,,2019
Джей в Голливуде,"комедия,криминал",Джейсон Мьюз,,2019
Детские игры,,Ларс Клевберг,,2019
Затерянный город,"приключения,экшн,комедия",,,2022
Джей и Молчаливый Боб: Перезагрузка,комедия,Кевин Смит,,2019
Джим Маршалл: Рок-н-ролл в объективе,документальный фильм,,,2019
Джокер,"психологический триллер,драма",Тодд Филлипс,,
Заклятье: Спуск к дьяволу,фильм ужасов о сверхъестественном,,,2022
Заклинатели слонов,документальный фильм,,,
Завтра это сегодня,"Комедия,Путешествия во времени",,,2022
Заговор в Каире,политический триллер,Тарик Салех,,2022
Камон Камон,драма,Майк Миллс,,2021
Закат,драматический фильм,Мишель Франко,,
Заговор в Голливуде,"боевик,триллер",,,2022
Капкан,,Галина Уразова,,2021
Капитан Волконогов бежал,"драма,триллер","Наталья Меркулова,Алексей Чупов",,
Как быть хорошей женой,комедийный фильм,,,
Казнь,"триллер,неонуар,детектив",Ладо Кватания,,2021
К счастью,фильм-триллер,,,2021
Иуда и чёрный мессия,биографический фильм,,,2021
Каждый твой вдох,драматический фильм,Вон Стайн,,
Исповедь,драматический фильм,Фрэн Кранц,,2021
История моей жены,драматический фильм,Ильдико Эньеди,,2021
Исчезнувший,"триллер,драма,детектив",,,2021
Искушение,драматический фильм,,,
Соник 3 в кино,,Джефф Фаулер,,
Солнечный берег,,,,
"Ину-О: Рождение легенды
",,,,
Смерч 2,фильм-катастрофа,Ли Айзек Чун,,2024
Квартира 7А,фильм ужасов,,,
К тебе или ко мне?,романтическая комедия,,,
Как заниматься сексом,драматический фильм,,,2023
Ингеборг Бахман: Путешествие в пустыню,биографический фильм,,,
"Истребитель демонов: Деревня кузнецов
",,,,
Искусство по понятиям,"чёрно,комедийный триллер",,,2023
Индиана Джонс и Колесо судьбы,приключенческий боевик,Джеймс Мэнголд,,2023
Жертва,,,,2020
Жизнь за год,,Митя Окорн,,2020
Ещё по одной,"драма,трагикомедия",Томас Винтерберг,,2020
#живой,"ужасы,зомби-фильм",,,2020
День до,"драма,фантастика","Александр Котт,Владимир Котт,Александр Карпиловский,Борис Хлебников",,
Демон революции,"исторический,драматический",Владимир Хотиненко,,
"Женщина, которая убежала",драма,Хон Сан Су,,2020
Дело Коллини,драма,Марко Кройцпайнтнер,,2019
Капитан Марвел 2,супергеройский фильм,,,2023
За пивом!,драматический фильм,,,2022
"За рекой, в тени деревьев",,,,
Девятая,фильм ужасов,Николай Хомерики,,2019
Девушка с браслетом,,,,2019
Дело Ричарда Джуэлла,"биография,драма",Клинт Иствуд,,2019
Девушки бывают разные,комедия,Сарик Андреасян,,2019
Девушка моего брата,драматический фильм,,,
З/Л/О 99,"ужасы,найденная плёнка",Flying Lotus,,2022
Женская судьба,драма,Дильмурод Масаидов,,2022
Жена Чайковского,драма,Кирилл Серебренников,,
Жестокая ночь,,Томми Виркола,,
Жажда золота,фильм-триллер,,,2022
Екатерина II. Закат Великой,драма,Андрей Арчаков,,2022
Её правда,драматический фильм,,,
Жить,драматический фильм,,,2022
Дышите свободно,драма,Сергей Бодров-ст.,,
Душа команды,драматический фильм,,,
Иван Денисович,драма,Глеб Панфилов,,2021
